name,id,teams,grpid
D.Anderson,32013030-2d30-3032-3336-343575bf3e08,"BUF (2018-2018),CAR (2011-2017)",derek-anderson-qb
D.Avery,00-0026173,LA (2008-2009),donnie-avery-wr
D.Avery,32013030-2d30-3032-3631-373359692e56,"IND (2012-2012),KC (2013-2013)",donnie-avery-wr
D.Bennett,00-0001101,LAC (1999-2003),darren-bennett-p
D.Bennett,00-0001102,"KC (1999-2000),WAS (2001-2001)",donnell-bennett-rb
D.Bennett,00-0019976,TEN (2003-2005),drew-bennett-wr
D.Bess,00-0026000,MIA (2008-2010),davone-bess-wr
D.Bess,32013030-2d30-3032-3630-3030c0405014,MIA (2011-2011),davone-bess-wr
D.Bowe,00-0025410,KC (2010-2010),dwayne-bowe-wr
D.Bowe,32013030-2d30-3032-3534-31305ee0c746,KC (2011-2011),dwayne-bowe-wr
D.Brees,00-0020531,"LAC (2001-2005),NO (2006-2010)",drew-brees-qb
D.Brees,32013030-2d30-3032-3035-33318e1e348d,NO (2011-2019),drew-brees-qb
D.Brown,00-0001907,ARI (1999-2000),dave-brown-qb
D.Brown,00-0020376,"CAR (2002-2002),KC (2005-2006)",dee-brown-rb
D.Brown,00-0021434,PIT (2004-2004),dante-brown-rb
D.Brown,00-0027003,IND (2009-2010),donald-brown-rb
D.Brown,32013030-2d30-3032-3730-3033d36fee7f,"IND (2011-2013),LAC (2014-2015)",donald-brown-rb
D.Bryant,00-0027902,DAL (2010-2010),dez-bryant-wr
D.Bryant,32013030-2d30-3032-3739-30326e27afaa,DAL (2011-2017),dez-bryant-wr
D.Butler,00-0027063,SEA (2010-2010),deon-butler-wr
D.Butler,32013030-2d30-3032-3839-35321eedeb73,ARI (2016-2016),drew-butler-p
D.Carr,00-0020608,"CAR (2007-2007),HOU (2002-2006),NYG (2008-2009),SF (2010-2010)",david-carr-qb
D.Carr,32013030-2d30-3032-3036-30383f2c3b17,NYG (2012-2012),david-carr-qb
D.Carr,32013030-2d30-3033-3132-3830ee8bf3c4,LV (2014-2019),derek-carr-qb
D.Carter,00-0022879,CAR (2006-2006),drew-carter-wr
D.Carter,32013030-2d30-3032-3830-35371547b492,IND (2011-2012),delone-carter-rb
D.Carter,32013030-2d30-3033-3137-36332a66fa20,HOU (2018-2018),deandre-carter-rb
D.Colquitt,00-0023534,KC (2006-2009),dustin-colquitt-p
D.Colquitt,32013030-2d30-3032-3335-3334dc594716,KC (2011-2019),dustin-colquitt-p
D.Davis,00-0021979,HOU (2003-2005),domanick-williams-rb
D.Davis,32013030-2d30-3032-3838-363348c474ff,ATL (2013-2013),drew-davis-wr
D.Foster,00-0021164,"CAR (2003-2007),SF (2008-2008)",deshaun-foster-rb
D.Foster,32013030-2d30-3033-3235-37373604d8f6,"ARI (2017-2017),NE (2016-2016)",dj-foster-rb
D.Harris,32013030-2d30-3032-3831-3134ffabe51a,"DAL (2013-2014),LV (2018-2018),NYG (2015-2015)",dwayne-harris-wr
D.Harris,32013030-2d30-3032-3834-3039b6bc6edc,"GB (2012-2014),JAX (2011-2011),SEA (2015-2015),SF (2015-2016)",dujuan-harris-rb
D.Harris,32013030-2d30-3033-3532-3135f132f2f7,NO (2019-2019),deonte-harris-wr
D.Harris,32013030-2d30-3033-3536-3537ff4277e1,NE (2019-2019),damien-harris-rb
D.Henderson,00-0022929,NO (2005-2010),devery-henderson-wr
D.Henderson,32013030-2d30-3032-3239-32399ca637a6,NO (2011-2012),devery-henderson-wr
D.Henderson,32013030-2d30-3033-3335-3831fc77e6b7,"DEN (2017-2017),NYJ (2018-2018)",deangleo-henderson-rb
D.Henderson,32013030-2d30-3033-3536-363416e8d9a5,LA (2019-2019),darrell-henderson-rb
D.Hester,00-0024272,CHI (2007-2010),devin-hester-kr
D.Hester,32013030-2d30-3032-3432-3732d4c7b991,"ATL (2014-2014),CHI (2011-2012)",devin-hester-kr
